cell,formula,cached_value
B1,,Project: 
B2,,Tricore   -
B3,,Stage 1 Version 1
A4,,Item  
A9,,1
B9,,Complete - 
B12,,Labour
B14,,DAY
J14,,april 2026 direct impact Increase % (not contigency)
B15,='LabourProject Rates_Master'!$B$14,TRADESMAN_LEADING HAND
C15,,Day
E15,='LabourProject Rates_Master'!$E$15,1231.142857142857
F15,=E15*D15,0
B16,='LabourProject Rates_Master'!$B$23,TRADESMAN_PLUMBER_OPERATOR
C16,,Day
E16,='LabourProject Rates_Master'!$E$22,941.1647284878864
F16,=E16*D16,0
K16,,PE Pipe & Fitting
L16,,0.38
M16,,1.38
B17,='LabourProject Rates_Master'!$B$30,T/A & Apprentice
C17,,Day
E17,='LabourProject Rates_Master'!$E$29,768.0650793650794
F17,=E17*D17,0
K17,,PVC Pipe & Fittings
L17,,0.38
M17,,1.38
B18,='LabourProject Rates_Master'!$B$36,Crew #1 - InGround Drainage
C18,,Day
E18,='LabourProject Rates_Master'!$E$37,2650.394536340852
F18,=E18*D18,0
K18,,Subby Rates
L18,,0.15
M18,,1.15
B19,='LabourProject Rates_Master'!$B$43,Crew #2 - InGround Water/Fire
C19,,Day
D19,,8
E19,='LabourProject Rates_Master'!$E$44,2650.394536340852
F19,=E19*D19,21203.156290726816
K19,,Delivey Rate
L19,,0.2
M19,,1.2
B20,='LabourProject Rates_Master'!B51,Crew #3 - Above Ground Drainage
C20,,Day
D20,,0
E20,='LabourProject Rates_Master'!E52,2650.394536340852
F20,=E20*D20,0
B21,='LabourProject Rates_Master'!B59,Crew #4 - Above Ground WATER/FIRE
C21,,Day
D21,,30
E21,='LabourProject Rates_Master'!E60,2650.394536340852
F21,=E21*D21,79511.83609022557
B22,='LabourProject Rates_Master'!B67,Crew #5 - Above Ground FitOff / Misc
C22,,Day
D22,,21
E22,='LabourProject Rates_Master'!E68,2650.394536340852
F22,=E22*D22,55658.28526315789
B23,='LabourProject Rates_Master'!B75,Crew #6 - DEMO
C23,,Day
D23,,16
E23,='LabourProject Rates_Master'!E76,1709.2298078529657
F23,=E23*D23,27347.67692564745
B25,,HOUR
B26,='LabourProject Rates_Master'!$B$14,TRADESMAN_LEADING HAND
C26,,HR
D26,,0
E26,='LabourProject Rates_Master'!$E$14,123.11428571428571
F26,=E26*D26,0
B27,='LabourProject Rates_Master'!$B$23,TRADESMAN_PLUMBER_OPERATOR
C27,,HR
D27,,0
